User name,Event time,Event source,Event name,AWS region,Source IP address,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category
Vincenzo,2021-10-27T20:39:21Z,ec2.amazonaws.com,TerminateInstances,us-east-1,35.134.53.84,console.ec2.amazonaws.com,,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-06232b1657282238d""}]",52bb87d0-ca2c-27a1-98fe-b037e3ed0d9f,c9620f31-7a59-200c-a33e-9fdcfb7ef027,FALSE,AwsApiCall,46402452087,Management
SLRManagement,2021-10-27T20:27:59Z,ec2.amazonaws.com,DeleteNetworkInterface,us-east-1,rds.amazonaws.com,rds.amazonaws.com,,"[{""resourceType"":""AWS::EC2::NetworkInterface"",""resourceName"":""eni-07fce1cc0d6f7170a""}]",0aaf3ce1-ae33-2281-9222-32323d237d82,dd20e6f0-e22c-221b-bae8-792def6ad198,FALSE,AwsApiCall,46411772487,Management
Vincenzo,2021-10-27T20:26:07Z,rds.amazonaws.com,DeleteDBInstance,us-east-1,35.134.53.84,console.amazonaws.com,,"[{""resourceType"":""AWS::RDS::DBInstance"",""resourceName"":""vincenzo-db""},{""resourceType"":""AWS::EC2::VPC"",""resourceName"":""vpc-f52d178f""},{""resourceType"":""AWS::RDS::DBSubnetGroup"",""resourceName"":""default""},{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""sg-e29b36ce""},{""resourceType"":""AWS::RDS::DBOptionGroup"",""resourceName"":""default:mysql-8-0""},{""resourceType"":""AWS::EC2::Subnet"",""resourceName"":""subnet-077c9758""},{""resourceType"":""AWS::EC2::Subnet"",""resourceName"":""subnet-3246e63c""},{""resourceType"":""AWS::EC2::Subnet"",""resourceName"":""subnet-3ccd235a""},{""resourceType"":""AWS::EC2::Subnet"",""resourceName"":""subnet-ed49bccc""},{""resourceType"":""AWS::EC2::Subnet"",""resourceName"":""subnet-c41ba589""},{""resourceType"":""AWS::EC2::Subnet"",""resourceName"":""subnet-8d8dbfb3""},{""resourceType"":""AWS::RDS::DBParameterGroup"",""resourceName"":""default.mysql8.0""}]",d2391a5f-a330-2d23-95aa-3d72d3a3a10e,6db11e2b-37e8-28c9-ab61-981c2d123fe3,FALSE,AwsApiCall,46411772487,Management
serdar,2021-10-27T19:48:40Z,signin.amazonaws.com,ConsoleLogin,us-east-1,89.133.54.241,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.54 Safari/537.36",,[],,11987a1a-ef20-2573-b223-366961675892,FALSE,AwsConsoleSignIn,46411772487,Management
Alex_D,2021-10-27T19:48:25Z,signin.amazonaws.com,ConsoleLogin,us-east-1,94.55.143.121,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.54 Safari/537.36",,[],,12f357e1-5e75-277c-a8a9-de133b681e98,FALSE,AwsConsoleSignIn,46411772487,Management
,2021-10-27T19:44:49Z,ec2.amazonaws.com,SharedSnapshotVolumeCreated,us-east-1,ec2.amazonaws.com,ec2.amazonaws.com,,[],,e521cf15-61aa-25e1-a2b5-3c0991227d29,FALSE,AwsServiceEvent,46411772487,Management
Vincenzo,2021-10-27T19:44:47Z,ec2.amazonaws.com,RunInstances,us-east-1,35.134.53.84,console.ec2.amazonaws.com,,"[{""resourceType"":""AWS::EC2::VPC"",""resourceName"":""vpc-f52d178f""},{""resourceType"":""AWS::EC2::Ami"",""resourceName"":""ami-02e136e904f3da870""},{""resourceType"":""AWS::EC2::NetworkInterface"",""resourceName"":""eni-0bd296fd94f54820a""},{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-06232b1657282238d""},{""resourceType"":""AWS::EC2::KeyPair"",""resourceName"":""vincenzo""},{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""allow ssh and http""},{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""sg-0262e53055ac71137""},{""resourceType"":""AWS::EC2::Subnet"",""resourceName"":""subnet-ed49bccc""}]",0fab1e2f-923e-2223-a3cc-cdb37cf5e32f,0966a105-5d5c-2935-a1d0-e21a12dea281,FALSE,AwsApiCall,46411772487,Management
serdar,2021-10-27T19:31:21Z,signin.amazonaws.com,ConsoleLogin,us-east-1,89.133.54.241,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.54 Safari/537.36",,[],,77f9fcc7-bec5-2fc1-9950-ff5365e65226,FALSE,AwsConsoleSignIn,46411772487,Management
SLRManagement,2021-10-27T18:43:37Z,ec2.amazonaws.com,CreateNetworkInterface,us-east-1,rds.amazonaws.com,rds.amazonaws.com,,"[{""resourceType"":""AWS::EC2::VPC"",""resourceName"":""vpc-f52d178f""},{""resourceType"":""AWS::EC2::NetworkInterface"",""resourceName"":""eni-07fce1cc0d6f7170a""},{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""sg-e29b36ce""},{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""default""},{""resourceType"":""AWS::EC2::Subnet"",""resourceName"":""subnet-c41ba589""}]",3c97b2d2-d3b3-255c-ae32-92a53787a85e,cd8872cb-3f5d-225c-8ce0-eb9c7d12af97,FALSE,AwsApiCall,46411772487,Management
Vincenzo,2021-10-27T18:41:39Z,rds.amazonaws.com,CreateDBInstance,us-east-1,35.134.53.84,aws-internal/3 aws-sdk-java/1.11.975 Linux/5.4.134-73.228.amzn2int.x86_64 OpenJDK_64-Bit_Server_VM/25.242-b08 java/1.8.0_242 vendor/Oracle_Corporation cfg/retry-mode/legacy,,"[{""resourceType"":""AWS::RDS::DBInstance"",""resourceName"":""vincenzo-db""},{""resourceType"":""AWS::EC2::VPC"",""resourceName"":""vpc-f52d178f""},{""resourceType"":""AWS::RDS::DBSubnetGroup"",""resourceName"":""default""},{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""sg-e29b36ce""},{""resourceType"":""AWS::RDS::DBOptionGroup"",""resourceName"":""default:mysql-8-0""},{""resourceType"":""AWS::EC2::Subnet"",""resourceName"":""subnet-077c9758""},{""resourceType"":""AWS::EC2::Subnet"",""resourceName"":""subnet-3246e63c""},{""resourceType"":""AWS::EC2::Subnet"",""resourceName"":""subnet-3ccd235a""},{""resourceType"":""AWS::EC2::Subnet"",""resourceName"":""subnet-ed49bccc""},{""resourceType"":""AWS::EC2::Subnet"",""resourceName"":""subnet-c41ba589""},{""resourceType"":""AWS::EC2::Subnet"",""resourceName"":""subnet-8d8dbfb3""},{""resourceType"":""AWS::RDS::DBParameterGroup"",""resourceName"":""default.mysql8.0""}]",bef833c5-3237-2e1e-8c53-833398077d1f,812caaa8-886e-28c2-9fbb-7cbb09552773,FALSE,AwsApiCall,46411772487,Management
osvaldo,2021-10-27T17:58:50Z,monitoring.amazonaws.com,DeleteAlarms,us-east-1,188.119.30.183,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36",,"[{""resourceType"":""AWS::CloudWatch::Alarm"",""resourceName"":""osvlado_add""}]",e5a352e7-3a38-255c-a859-a5908cc1112c,a25d21d2-2506-2533-ac67-2de05592c0e7,FALSE,AwsApiCall,46411772487,Management
david,2021-10-27T14:30:55Z,ec2.amazonaws.com,StopInstances,us-east-1,31.223.34.49,console.ec2.amazonaws.com,,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-0ad118ca4900a4182""},{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-0247e6834f22a509a""}]",a2bf0c13-e523-2710-ad2e-e833227d00d3,b781a60e-37ac-2b7c-ba32-f7123028fb22,FALSE,AwsApiCall,46411772487,Management
ElasticLoadBalancing,2021-10-27T14:26:26Z,ec2.amazonaws.com,DeleteNetworkInterface,us-east-1,elasticloadbalancing.amazonaws.com,elasticloadbalancing.amazonaws.com,,"[{""resourceType"":""AWS::EC2::NetworkInterface"",""resourceName"":""eni-03ad5215b51f00d3b""}]",2897cdc3-b32a-2da3-8aef-8c779d1bef37,5faf22d9-1d50-2f1c-a051-289fa8a31b11,FALSE,AwsApiCall,46411772487,Management
ElasticLoadBalancing,2021-10-27T14:26:25Z,ec2.amazonaws.com,DeleteNetworkInterface,us-east-1,elasticloadbalancing.amazonaws.com,elasticloadbalancing.amazonaws.com,,"[{""resourceType"":""AWS::EC2::NetworkInterface"",""resourceName"":""eni-023a386a89a256012""}]",f27cc025-73ce-2337-8282-5ca207188c52,c5d98b72-3867-22d8-bf1e-7868292f3862,FALSE,AwsApiCall,46411772487,Management
ElasticLoadBalancing,2021-10-27T14:26:24Z,ec2.amazonaws.com,DeleteNetworkInterface,us-east-1,elasticloadbalancing.amazonaws.com,elasticloadbalancing.amazonaws.com,,"[{""resourceType"":""AWS::EC2::NetworkInterface"",""resourceName"":""eni-0195468840823e1ab""}]",b98fee3a-bfc5-222e-87cf-e1322872078c,3eb0b0ff-3d51-2c55-9e3e-052ce2916711,FALSE,AwsApiCall,46411772487,Management
ElasticLoadBalancing,2021-10-27T14:26:01Z,ec2.amazonaws.com,DeleteNetworkInterface,us-east-1,elasticloadbalancing.amazonaws.com,elasticloadbalancing.amazonaws.com,Client.InvalidParameterValue,"[{""resourceType"":""AWS::EC2::NetworkInterface"",""resourceName"":""eni-0195468840823e1ab""}]",001becb9-2f1e-2d31-82d1-2552111db7dc,e0277fff-90d9-278a-be12-f5f36a67fd62,FALSE,AwsApiCall,46411772487,Management
ElasticLoadBalancing,2021-10-27T14:25:56Z,ec2.amazonaws.com,DeleteNetworkInterface,us-east-1,elasticloadbalancing.amazonaws.com,elasticloadbalancing.amazonaws.com,Client.InvalidParameterValue,"[{""resourceType"":""AWS::EC2::NetworkInterface"",""resourceName"":""eni-0195468840823e1ab""}]",eaa1fce3-9eeb-2d32-9010-fc03a3137fa1,b76e2a2e-d096-207e-a089-007bc92af0b0,FALSE,AwsApiCall,46411772487,Management
ElasticLoadBalancing,2021-10-27T14:25:51Z,ec2.amazonaws.com,DeleteNetworkInterface,us-east-1,elasticloadbalancing.amazonaws.com,elasticloadbalancing.amazonaws.com,Client.InvalidParameterValue,"[{""resourceType"":""AWS::EC2::NetworkInterface"",""resourceName"":""eni-0195468840823e1ab""}]",5e227dab-ff03-233b-bc3f-a0b3e3d223c3,82be87b2-1b13-2f75-b66e-f5e3668caf6b,FALSE,AwsApiCall,46411772487,Management
ElasticLoadBalancing,2021-10-27T14:25:49Z,ec2.amazonaws.com,DeleteNetworkInterface,us-east-1,elasticloadbalancing.amazonaws.com,elasticloadbalancing.amazonaws.com,,"[{""resourceType"":""AWS::EC2::NetworkInterface"",""resourceName"":""eni-0d8a10a04c9ab2113""}]",d220dc39-fd32-2cf7-9e95-0cd3c7ab83d7,22b011c7-8b16-2722-826d-6cb95f31631a,FALSE,AwsApiCall,46411772487,Management
ElasticLoadBalancing,2021-10-27T14:25:23Z,ec2.amazonaws.com,DeleteNetworkInterface,us-east-1,elasticloadbalancing.amazonaws.com,elasticloadbalancing.amazonaws.com,Client.InvalidParameterValue,"[{""resourceType"":""AWS::EC2::NetworkInterface"",""resourceName"":""eni-0d8a10a04c9ab2113""}]",8ef3f32c-cac0-2835-ba89-d283ed317bb3,c7fb5222-70a9-2f1e-8f82-23e90e1bab7e,FALSE,AwsApiCall,46411772487,Management
ElasticLoadBalancing,2021-10-27T14:25:12Z,ec2.amazonaws.com,DeleteNetworkInterface,us-east-1,elasticloadbalancing.amazonaws.com,elasticloadbalancing.amazonaws.com,Client.InvalidParameterValue,"[{""resourceType"":""AWS::EC2::NetworkInterface"",""resourceName"":""eni-0d8a10a04c9ab2113""}]",33d5f03b-ea3b-2d90-a181-e9f3f2277df2,3233fad0-a2b3-2135-adcc-71b333d80f5f,FALSE,AwsApiCall,46411772487,Management
AutoScaling,2021-10-27T14:25:10Z,ec2.amazonaws.com,TerminateInstances,us-east-1,autoscaling.amazonaws.com,autoscaling.amazonaws.com,,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-06fad3f92385b3dc3""}]",3ed03e83-7823-2321-8352-2f232bdfd020,52fd9023-312d-2182-b99f-2c19289f0cda,FALSE,AwsApiCall,46411772487,Management
ElasticLoadBalancing,2021-10-27T14:25:06Z,ec2.amazonaws.com,DeleteNetworkInterface,us-east-1,elasticloadbalancing.amazonaws.com,elasticloadbalancing.amazonaws.com,Client.InvalidParameterValue,"[{""resourceType"":""AWS::EC2::NetworkInterface"",""resourceName"":""eni-0d8a10a04c9ab2113""}]",c8cd1399-ea0d-22e3-b25c-9113318920b3,d26ef21c-7721-2f12-9cfe-70ef7237c7db,FALSE,AwsApiCall,46411772487,Management
